release_date_raw,time,actual,forecast,previous
"Sep 01, 2011 (Aug)",5:00,51.3,,54.4
"Aug 01, 2011 (Jul)",5:00,54.4,,55.9
"Jul 01, 2011 (Jun)",5:00,55.9,,53.9
"Jun 01, 2011 (May)",5:00,53.9,,62.1
"May 01, 2011 (Apr)",5:00,62.1,,61.7
"Apr 01, 2011 (Mar)",5:00,61.7,,61.9
"Mar 01, 2011 (Feb)",4:00,61.9,,62.1
"Feb 01, 2011 (Jan)",4:00,62.1,,59.8
"Jan 01, 2011 (Dec)",4:00,59.8,,57.9
"Dec 01, 2010 (Nov)",4:00,57.9,,59.5
"Nov 01, 2010 (Oct)",5:00,59.5,,53.5
"Oct 01, 2010 (Sep)",5:00,53.5,,56.9
"Sep 01, 2010 (Aug)",5:00,56.9,,57
"Aug 01, 2010 (Jul)",5:00,57,,60
"Jul 01, 2010 (Jun)",5:00,60,,63.1
"Jun 01, 2010 (May)",5:00,63.1,,62.4
"May 01, 2010 (Apr)",5:00,62.4,,61.4
"Apr 01, 2010 (Mar)",5:00,61.4,,57.1
"Mar 01, 2010 (Feb)",4:00,57.1,,62.9
"Feb 01, 2010 (Jan)",4:00,62.9,,63
"Jan 01, 2010 (Dec)",4:00,63,,60.6
"Dec 01, 2009 (Nov)",4:00,60.6,,59.9
"Nov 01, 2009 (Oct)",4:00,59.9,,63.3
"Oct 01, 2009 (Sep)",5:00,63.3,,66.6
"Sep 01, 2009 (Aug)",5:00,66.6,,57.6
"Aug 01, 2009 (Jul)",5:00,57.6,,51.7
"Jul 01, 2009 (Jun)",5:00,51.7,,49
"Jun 01, 2009 (May)",5:00,49,,46.5
"May 01, 2009 (Apr)",5:00,46.5,,40.3
"Apr 01, 2009 (Mar)",5:00,40.3,,32.8
"Mar 01, 2009 (Feb)",4:00,32.8,,31.8
"Feb 01, 2009 (Jan)",4:00,31.8,,23.2
"Jan 01, 2009 (Dec)",4:00,23.2,,27.6
"Dec 01, 2008 (Nov)",4:00,27.6,,33.2
"Nov 01, 2008 (Oct)",5:00,33.2,,41.8
"Oct 01, 2008 (Sep)",5:00,41.8,,46.7
"Sep 01, 2008 (Aug)",5:00,46.7,,47
"Aug 01, 2008 (Jul)",5:00,47,,49.7
"Jul 01, 2008 (Jun)",5:00,49.7,,48.5
"Jun 01, 2008 (May)",5:00,48.5,,46.5
"May 01, 2008 (Apr)",5:00,46.5,,45.6
"Apr 01, 2008 (Mar)",5:00,45.6,,46.4
"Mar 01, 2008 (Feb)",4:00,46.4,,48
"Feb 01, 2008 (Jan)",4:00,48,,46.5
"Jan 01, 2008 (Dec)",4:00,46.5,,52.4
"Dec 01, 2007 (Nov)",4:00,52.4,,56.4
"Nov 01, 2007 (Oct)",5:00,56.4,,54.4
"Oct 01, 2007 (Sep)",5:00,54.4,,54.4
"Sep 01, 2007 (Aug)",5:00,54.4,,58.6
"Aug 01, 2007 (Jul)",5:00,58.6,,57.7
"Jul 01, 2007 (Jun)",5:00,57.7,,58.6
"Jun 01, 2007 (May)",5:00,58.6,,57.4
"May 01, 2007 (Apr)",5:00,57.4,,50.2
"Apr 01, 2007 (Mar)",5:00,50.2,,55.1
"Mar 01, 2007 (Feb)",4:00,55.1,,52.2
"Feb 01, 2007 (Jan)",4:00,52.2,,51.4
