date,gs10,term_spread_10y_1y,bog_amom
1975-02-01,7.39,1.4099999999999993,-21.93774799264392
1975-03-01,7.73,1.62,2.2987511856265685
1975-04-01,8.23,1.33,13.228351548625472
1975-05-01,8.06,1.6700000000000008,2.270481324651641
1975-06-01,7.86,1.5700000000000003,16.881574742951
1975-07-01,8.06,0.9500000000000002,12.880271076639026
1975-08-01,8.4,0.7000000000000002,-4.296553731298525
1975-09-01,8.43,0.6799999999999997,1.1054702264710503
1975-10-01,8.14,1.1900000000000004,5.635008226901861
1975-11-01,8.05,1.5600000000000005,16.436509120984134
1975-12-01,8.0,1.4000000000000004,23.87468177244898
1976-01-01,7.74,1.9300000000000006,-12.014768868906177
1976-02-01,7.79,1.88,-13.083849093601607
1976-03-01,7.73,1.5200000000000005,7.864975308054145
1976-04-01,7.56,1.6399999999999997,21.229771641265295
1976-05-01,7.9,1.5,5.43595046620815
1976-06-01,7.86,1.3400000000000007,8.785826836772138
1976-07-01,7.83,1.63,13.339610423612758
1976-08-01,7.77,1.7699999999999996,-1.0331376196940245
1976-09-01,7.59,1.75,1.0439227786408045
1976-10-01,7.41,1.9100000000000001,10.88903295030752
1976-11-01,7.29,2.0,18.969142266873117
1976-12-01,6.87,1.9800000000000004,22.284269226500463
1977-01-01,7.21,1.92,-5.823558413675112
1977-02-01,7.39,1.92,-17.46965120881433
1977-03-01,7.46,1.96,9.56330945997308
1977-04-01,7.37,1.9299999999999997,20.992671556964005
1977-05-01,7.46,1.62,4.053513702167311
1977-06-01,7.28,1.4800000000000004,8.228843009053023
1977-07-01,7.33,1.3899999999999997,25.168174517175945
1977-08-01,7.4,1.0300000000000002,0.971259147941983
1977-09-01,7.34,0.8099999999999996,1.9495737108350397
1977-10-01,7.52,0.5499999999999998,13.286658741552525
1977-11-01,7.58,0.6299999999999999,19.724976478023226
1977-12-01,7.69,0.7300000000000004,23.908677088150366
1978-01-01,7.96,0.6799999999999997,2.806837058748801
1978-02-01,8.03,0.6899999999999995,-12.981668450931972
1978-03-01,8.04,0.7299999999999995,3.794022772549921
1978-04-01,8.15,0.7000000000000002,21.364344139108017
1978-05-01,8.35,0.5299999999999994,10.538129116829587
1978-06-01,8.46,0.370000000000001,12.44997608890328
1978-07-01,8.64,0.25,20.581497828279183
1978-08-01,8.41,0.09999999999999964,-4.333006141957396
1978-09-01,8.42,-0.22000000000000064,9.245860955446595
1978-10-01,8.64,-0.5,13.05659877073242
1978-11-01,8.81,-1.1999999999999993,30.64956329979558
1978-12-01,9.01,-1.290000000000001,39.9887721120072
1979-01-01,9.1,-1.3100000000000005,-3.2672354652399482
1979-02-01,9.1,-1.1400000000000006,-20.28077516154154
1979-03-01,9.12,-1.1300000000000008,6.096183269945987
1979-04-01,9.18,-0.9399999999999995,19.21956086005945
1979-05-01,9.25,-0.8699999999999992,0.8341975100054411
1979-06-01,8.91,-0.6600000000000001,12.26628136847232
1979-07-01,8.95,-0.6900000000000013,19.673281437414424
1979-08-01,9.03,-0.9500000000000011,4.127396737261213
1979-09-01,9.33,-1.5099999999999998,8.381063747413918
1979-10-01,10.3,-2.139999999999999,16.351629975828263
1979-11-01,10.65,-1.7400000000000002,19.818652607442466
1979-12-01,10.39,-1.5899999999999999,25.127259257111657
1980-01-01,10.8,-1.2599999999999998,-5.2307982294948925
1980-02-01,12.41,-1.5099999999999998,-15.009916147030067
1980-03-01,12.75,-3.0700000000000003,8.922334297755551
1980-04-01,11.47,-1.83,24.912293383451644
1980-05-01,10.18,0.7899999999999991,0.0
1980-06-01,9.78,1.6199999999999992,7.870131059286267
1980-07-01,10.25,1.5999999999999996,7.81887560838137
1980-08-01,11.1,0.8599999999999994,-10.694015575142124
1980-09-01,11.51,-0.009999999999999787,7.844419646983103
1980-10-01,11.75,-0.7400000000000002,11.895526593392237
1980-11-01,12.68,-1.4700000000000006,8.519465323919562
1980-12-01,12.84,-2.040000000000001,10.877762116987434
1981-01-01,12.57,-1.5099999999999998,-15.642857776353846
1981-02-01,13.19,-1.3800000000000008,-14.568308189704416
1981-03-01,13.12,-0.5900000000000016,6.2076520412662095
1981-04-01,13.68,-0.6400000000000006,21.36990140083135
1981-05-01,14.1,-2.0999999999999996,6.074148489415521
1981-06-01,13.47,-1.3899999999999988,5.270234369408366
1981-07-01,14.28,-1.4400000000000013,16.506354579992923
1981-08-01,14.94,-1.7799999999999994,0.7252915049327457
1981-09-01,15.32,-1.1999999999999993,-9.658436875575504
1981-10-01,15.15,-0.23000000000000043,2.2078235890806264
1981-11-01,13.39,0.9800000000000004,17.22707982588738
1981-12-01,13.72,0.870000000000001,28.223307763047643
1982-01-01,14.59,0.2699999999999996,-6.1466070849387595
1982-02-01,14.43,-0.3000000000000007,-15.096517218050154
1982-03-01,13.86,-0.08999999999999986,-8.925982059327842
1982-04-01,13.87,-0.11000000000000121,19.62136606085274
1982-05-01,13.62,0.27999999999999936,9.649350995003214
1982-06-01,14.3,0.23000000000000043,12.682503013196978
1982-07-01,13.95,0.7099999999999991,12.550019803341916
1982-08-01,13.06,1.6300000000000008,4.232189754999038
1982-09-01,12.34,1.4900000000000002,-4.060348117934465
1982-10-01,10.91,1.5899999999999999,11.652246713886516
1982-11-01,10.55,1.3900000000000006,18.55604541935407
1982-12-01,10.54,1.629999999999999,23.913191287662585
1983-01-01,10.46,1.8400000000000016,-11.319883275948882
1983-02-01,10.72,1.8000000000000007,-12.025843896992416
1983-03-01,10.51,1.4700000000000006,2.052965902678938
1983-04-01,10.4,1.42,19.885106668317775
1983-05-01,10.38,1.4800000000000004,9.743127178824418
1983-06-01,10.85,1.1899999999999995,13.318857400342509
1983-07-01,11.38,1.1800000000000015,13.908321482919517
1983-08-01,11.85,1.3200000000000003,0.6495241266748497
1983-09-01,11.65,1.4900000000000002,-3.188672300605777
1983-10-01,11.54,1.7299999999999986,10.18131778761533
1983-11-01,11.69,1.75,18.83584261560458
1983-12-01,11.83,1.7200000000000006,21.546442974841295
1984-01-01,11.67,1.7699999999999996,-5.476664085568039
1984-02-01,11.84,1.8000000000000007,-24.847605534693596
1984-03-01,12.32,1.7300000000000004,15.81795262469532
1984-04-01,12.63,1.7300000000000004,21.546442974841295
1984-05-01,13.41,1.75,3.811090889584645
1984-06-01,13.56,1.4800000000000004,19.620483394811217
1984-07-01,13.36,1.33,11.613131105123585
