date,cpi_amom,ppi_amom,si_diff
1918-03-01,,47.94096924460669,
1918-04-01,,17.822805874120284,
1918-05-01,,0.0,
1918-06-01,,5.567055719179859,
1918-07-01,,30.639525076826747,
1918-08-01,,29.880972671368756,
1918-09-01,,29.158898750870076,
1918-10-01,,-9.669545554527904,
1918-11-01,,0.0,
1918-12-01,,0.0,
1919-01-01,,-14.288031103567889,
1919-02-01,,-34.367280251725006,
1919-03-01,,11.256411961564016,
1919-04-01,,17.145205431852872,
1919-05-01,,23.096375119696265,
1919-06-01,,5.273542313920521,
1919-07-01,,57.284162530582435,
1919-08-01,,34.003728404498304,
1919-09-01,,-25.375210682090955,
1919-10-01,,5.051590692686392,
1919-11-01,,27.559923196696023,
1919-12-01,,67.99177176221167,
1920-01-01,,71.84886683478342,
1920-02-01,,-4.323640479133184,
1920-03-01,,9.224552485742787,
1920-04-01,,67.56625193330596,
1920-05-01,,13.38915869602506,
1920-06-01,,-4.08800872158086,
1920-07-01,,-4.101980811163286,
1920-08-01,,-28.854873899655143,
1920-09-01,,-35.57120968250016,
1920-10-01,,-58.62151013070628,
1920-11-01,,-61.42180827890393,
1920-12-01,,-70.07556306704797,
1921-01-01,,-50.98682495991087,
1921-02-01,,-61.534618675297935,
1921-03-01,,-23.522039469480085,
1921-04-01,,-38.38196277914394,
1921-05-01,,-24.853285075540544,
1921-06-01,,-30.71911035117516,
1921-07-01,,0.0,
1921-08-01,,0.0,
1921-09-01,,0.0,
1921-10-01,,7.713381996350699,
1921-11-01,,0.0,
1921-12-01,,-13.849139957546164,
1922-01-01,,-20.318768608950645,
1922-02-01,,25.50006852834983,
1922-03-01,,0.0,
1922-04-01,,7.763259885603113,
1922-05-01,,44.339947865689865,
1922-06-01,,0.0,
1922-07-01,,42.776347686793194,
1922-08-01,,-6.796175844670326,
1922-09-01,,7.291734975749509,
1922-10-01,,7.2477125866851955,
1922-11-01,,7.204218356180525,
1922-12-01,,0.0,
1923-01-01,,22.913270954639465,
1923-02-01,,14.521760049116562,
1923-03-01,,14.34838455429055,
1923-04-01,,-6.466688516576924,
1923-05-01,,-23.75344737567412,
1923-06-01,,-12.884255337413798,
1923-07-01,,-18.934919371425853,
1923-08-01,,-6.834869030185542,
1923-09-01,,23.50965469403137,
1923-10-01,,-6.757918105551219,
1923-11-01,,-6.796175844670326,
1923-12-01,,-6.834869030185542,
1924-01-01,,23.50965469403137,
1924-02-01,,0.0,
1924-03-01,,-13.094813952329432,
1924-04-01,,-19.23734319931456,
1924-05-01,,-13.461437504237994,
1924-06-01,,-7.035134349250793,
1924-07-01,,7.567519513963883,
1924-08-01,,15.55542074655687,
1924-09-01,,0.0,
1924-10-01,,15.356694121315307,
1924-11-01,,15.162973377359457,
1924-12-01,,31.97852171126221,
1925-01-01,,14.61002627815786,
1925-02-01,,14.434552443404257,
1925-03-01,,0.0,
1925-04-01,,-23.75344737567412,
1925-05-01,,0.0,
1925-06-01,,14.61002627815786,
1925-07-01,,22.346307030608536,
1925-08-01,,-6.466688516576924,
1925-09-01,,-6.501712613584864,
1925-10-01,,0.0,
1925-11-01,,14.34838455429055,
1925-12-01,,-12.547955627198304,
1926-01-01,,0.0,
1926-02-01,,-12.680350042549504,
1926-03-01,,-18.641820184816027,
1926-04-01,,0.0,
1926-05-01,,0.0,
1926-06-01,,0.0,
1926-07-01,,-13.023868534112493,
1926-08-01,,0.0,
1926-09-01,,7.2477125866851955,
1926-10-01,,-6.757918105551219,
1926-11-01,,-6.796175844670326,
1926-12-01,,-6.834869030185542,
