date,cfnai,gdp_amom,ipgr_amom,ism
1936-02-01,,,-39.35132253214303,
1936-03-01,,,-12.044877167568579,
1936-04-01,,,138.89365625582997,
1936-05-01,,,12.682503013196978,
1936-06-01,,,26.529039444500025,
1936-07-01,,,76.61938548400195,
1936-08-01,,,-10.562373291687999,
1936-09-01,,,24.885680044683834,
1936-10-01,,,0.0,
1936-11-01,,,71.29324656934439,
1936-12-01,,,104.44016733726684,
1937-01-01,,,-45.68126586201965,
1937-02-01,,,10.94858978196771,
1937-03-01,,,22.768858257438485,
1937-04-01,,,0.0,
1937-05-01,,,0.0,
1937-06-01,,,-26.584122072910287,
1937-07-01,,,-9.949914025525452,
1937-08-01,,,36.57528797489691,
1937-09-01,,,-46.83260225440866,
1937-10-01,,,-59.245933382765735,
1937-11-01,,,-82.67659003385826,
1937-12-01,,,-50.0343716857536,
1938-01-01,,,-35.3648451213187,
1938-02-01,,,-25.919335559783597,
1938-03-01,,,0.0,
1938-04-01,,,-26.487091354494254,
1938-05-01,,,-14.518053023039867,
1938-06-01,,,16.98376503632144,
1938-07-01,,,146.0641851891877,
1938-08-01,,,101.76923959906775,
1938-09-01,,,30.953782579305788,
1938-10-01,,,116.94252129716128,
1938-11-01,,,132.69759780874836,
1938-12-01,,,12.293178564408969,
1939-01-01,,,-29.618841078660342,
1939-02-01,,,-30.360375146894224,
1939-03-01,,,0.0,
1939-04-01,,,-53.14660991230033,
1939-05-01,,,0.0,
1939-06-01,,,113.43172780629365,
1939-07-01,,,61.61778590960123,
1939-08-01,,,0.0,
1939-09-01,,,175.85044207933169,
1939-10-01,,,154.8585495552175,
